Store Name,Borough,Latitude,Longitude,NTA
Genao Food Store,Bronx,40.819986,-73.896695,Longwood
Home Street Deli,Bronx,,,
Ivoire African Market,Bronx,40.829569,-73.897522,Morrisania-Melrose
J&W Food Center,Bronx,40.814565,-73.899875,Longwood
Los Hermanos Meat & Grocery,Bronx,40.812032,-73.909517,Mott Haven-Port Morris
Luis & Angie Deli Grocery,Bronx,40.823225,-73.900133,Longwood
Paulino Deli Grocery,Bronx,40.816473,-73.887795,Hunts Point
REAL Supermarket,Bronx,40.819173,-73.902571,Melrose South-Mott Haven North
Salgados Superette,Bronx,40.82643,-73.890307,Hunts Point
South Side Food,Bronx,40.816005,-73.907976,Melrose South-Mott Haven North
Super Deli Grocery Store,Bronx,40.813082,-73.908389,Mott Haven-Port Morris
Top Quality,Bronx,,,
Torres Meat & Grocery,Bronx,40.817614,-73.898415,Longwood
Union Foods,Bronx,40.815242,-73.904242,Melrose South-Mott Haven North
VR Vegetable N Grocery,Bronx,,,
3368 Cypress Deli & Grocery,Brooklyn,40.683854,-73.871439,Cypress Hills-City Line
Apple Deli and Grill,Brooklyn,40.672551,-73.873509,East New York
Bangla Supermarket,Brooklyn,40.678988,-73.864858,Cypress Hills-City Line
Claribel Deli & Grocery,Brooklyn,40.683696,-73.87966,Cypress Hills-City Line
Dari's Grocery,Brooklyn,40.684755,-73.869599,Cypress Hills-City Line
Decayagua Deli Grocery,Brooklyn,40.680961,-73.883826,East New York
Dumont Deli & Grocery,Brooklyn,40.668497,-73.88122,East New York
Four Star Supermarket,Brooklyn,40.678354,-73.869546,Cypress Hills-City Line
Fulton Gourmet Deli and Grill,Brooklyn,40.683548,-73.872518,Cypress Hills-City Line
J and J Grocery,Brooklyn,40.670136,-73.879335,East New York
J R Grocery,Brooklyn,40.665825,-73.877941,East New York
J.T. Deli Grocery,Brooklyn,40.677497,-73.866563,Cypress Hills-City Line
Los Chamona Deli Grocery,Brooklyn,40.686622,-73.867839,Cypress Hills-City Line
Luna Grocery,Brooklyn,40.667838,-73.873244,East New York
MACO Food Corp.,Brooklyn,40.674146,-73.871458,East New York
Melendez Deli Grocery,Brooklyn,40.685225,-73.874621,Cypress Hills-City Line
Mike's Grocery Corp.,Brooklyn,40.672872,-73.871161,East New York
My Neighborhood Grocery,Brooklyn,40.677517,-73.873983,East New York
New Way Grocery,Brooklyn,40.68303,-73.883368,Cypress Hills-City Line
Reyes & G Mini Market,Brooklyn,40.687414,-73.871065,Cypress Hills-City Line
Sutter Grocery,Brooklyn,40.671237,-73.882578,East New York
1879 Deli Carter Corp,Bronx,40.847345,-73.901904,Mount Hope
Anthony's Place Deli Grocery,Bronx,40.849999,-73.902497,Mount Hope
Aurora Deli Grocery,Bronx,40.844842,-73.909679,Mount Hope
C & T Deli Grocery,Bronx,40.855028,-73.893336,Claremont-Bathgate
Concourse Food Plaza,Bronx,40.854042,-73.902295,Mount Hope
C-Town,Bronx,40.848997,-73.904772,Mount Hope
C-Town,Bronx,40.850588,-73.901133,Mount Hope
Deli Grocery,Bronx,40.856256,-73.90064,Fordham South
El Abanico Deli Grocery Corp.,Bronx,40.853232,-73.901971,Mount Hope
Fresh Food Deli Grocery,Bronx,40.853505,-73.89442,Claremont-Bathgate
J.J.N. Corp Deli Grocery,Bronx,40.837956,-73.90315,Claremont-Bathgate
Jade Food Center,Bronx,40.837875,-73.901412,Claremont-Bathgate
Los Primos Grocery,Bronx,40.849462,-73.899949,Mount Hope
Los Primos Grocery,Bronx,40.842792,-73.893526,East Tremont
Mills Grocery,Bronx,40.838762,-73.901563,Claremont-Bathgate
